timestamp,threat_level,label,score,person_count,moving_count,occluded_count,fast_radar_targets,audio_energy,voice_detected,contributing_factors
2026-04-02 15:02:27.286369,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:27.291951,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:27.329356,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:27.427726,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:27.528122,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:27.629778,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:27.747395,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:27.827344,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:27.931308,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:28.029311,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:28.127754,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:28.228082,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:28.326667,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:28.431069,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:28.535462,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:28.632274,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:28.727347,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:28.833413,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:28.932037,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:29.027677,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:29.127118,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:29.226909,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:29.334308,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:29.428501,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:29.532293,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:29.630062,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:29.726899,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:29.827617,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:29.928260,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:30.033016,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:30.129636,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:30.229000,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:30.328301,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:30.429915,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:30.528295,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:30.628043,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:30.728842,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:30.827967,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:30.930448,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:31.030018,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:31.127669,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:31.226943,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:31.326653,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:31.427855,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:31.528630,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:31.627783,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:31.727917,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:31.832780,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:31.930922,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:32.026589,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:32.127675,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:32.229932,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:32.327088,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:32.426762,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:32.527508,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:32.637448,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:32.729772,1,CLEAR,0.15,0,0,0,1,0.4,0,fast_radar_target
2026-04-02 15:02:32.827440,1,CLEAR,0.15,0,0,0,1,0.4,0,fast_radar_target
2026-04-02 15:02:32.928028,1,CLEAR,0.15,0,0,0,2,0.4,0,fast_radar_target
2026-04-02 15:02:33.026705,1,CLEAR,0.15,0,0,0,2,0.4,0,fast_radar_target
2026-04-02 15:02:33.128045,1,CLEAR,0.15,0,0,0,3,0.4,0,fast_radar_target
2026-04-02 15:02:33.232419,1,CLEAR,0.15,0,0,0,4,0.4,0,fast_radar_target
2026-04-02 15:02:33.331727,1,CLEAR,0.15,0,0,0,1,0.4,0,fast_radar_target
2026-04-02 15:02:33.435310,1,CLEAR,0.15,0,0,0,3,0.4,0,fast_radar_target
2026-04-02 15:02:33.531457,2,LOW,0.35,1,0,0,2,0.4,0,person_detected|fast_radar_target
2026-04-02 15:02:33.628794,2,LOW,0.35,1,0,0,1,0.4,0,person_detected|fast_radar_target
2026-04-02 15:02:33.730724,2,LOW,0.2,1,0,0,0,0.4,0,person_detected
2026-04-02 15:02:33.828535,2,LOW,0.2,1,0,0,0,0.4,0,person_detected
2026-04-02 15:02:33.928459,2,LOW,0.35,1,0,0,1,0.4,0,person_detected|fast_radar_target
2026-04-02 15:02:34.029415,2,LOW,0.35,1,0,0,1,0.4,0,person_detected|fast_radar_target
2026-04-02 15:02:34.128013,2,LOW,0.2,1,0,0,0,0.4,0,person_detected
2026-04-02 15:02:34.228461,2,LOW,0.2,1,0,0,0,0.4,0,person_detected
2026-04-02 15:02:34.327039,2,LOW,0.35,1,0,0,2,0.4,0,person_detected|fast_radar_target
2026-04-02 15:02:34.428280,2,LOW,0.2,1,0,0,0,0.4,0,person_detected
2026-04-02 15:02:34.529851,3,MODERATE,0.55,1,1,0,1,0.4,0,person_detected|person_moving|fast_radar_target
2026-04-02 15:02:34.626959,3,MODERATE,0.4,1,1,0,0,0.4,0,person_detected|person_moving
2026-04-02 15:02:34.730828,3,MODERATE,0.4,1,1,0,0,0.4,0,person_detected|person_moving
2026-04-02 15:02:34.831246,3,MODERATE,0.4,1,1,0,0,0.4,0,person_detected|person_moving
2026-04-02 15:02:34.928480,3,MODERATE,0.55,1,1,1,0,0.4,0,person_detected|person_moving|occlusion_detected
2026-04-02 15:02:35.027492,3,MODERATE,0.55,1,1,1,0,0.4,0,person_detected|person_moving|occlusion_detected
2026-04-02 15:02:35.127299,3,MODERATE,0.55,1,1,1,0,0.4,0,person_detected|person_moving|occlusion_detected
2026-04-02 15:02:35.229225,3,MODERATE,0.55,1,1,1,0,0.4,0,person_detected|person_moving|occlusion_detected
2026-04-02 15:02:35.333309,3,MODERATE,0.4,1,1,0,0,0.4,0,person_detected|person_moving
2026-04-02 15:02:35.427320,4,HIGH,0.7,1,1,1,2,0.4,0,person_detected|person_moving|occlusion_detected|fast_radar_target
2026-04-02 15:02:35.526800,3,MODERATE,0.4,1,1,0,0,0.4,0,person_detected|person_moving
2026-04-02 15:02:35.627339,3,MODERATE,0.4,1,1,0,0,0.4,0,person_detected|person_moving
2026-04-02 15:02:35.727349,3,MODERATE,0.55,1,1,1,0,0.4,0,person_detected|person_moving|occlusion_detected
